Developers,Name,Phase,Vaccine,Platform,N,Age (years),N_doses,Location,Location_clean,Location_status,alpha3,Latitude,Longitude,N_enrolled,Update_date,Update_link,Start_date,Primary_completion_date,Trial_number,Link,Status,Additional_links
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,Spain (2-dose),Spain,Not yet recruiting,ESP,40,-4,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
Janssen Pharmaceutical Companies,Ad26.COV2.S,Phase III,Janssen Ad26.COV2.S,Non-replicating viral vector,30000,≥18,2,UK (2-dose),UK,Active/recruiting,GBR,54,-2,Unknown,NA,NA,16/11/2020,10/05/2022,NCT04614948,https://clinicaltrials.gov/ct2/show/NCT04614948,Recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
Medicago Inc,CoVLP,Phase II/III,Medicago CoVLP,Virus-like particle,30918,≥18,2,USA,USA,Active/recruiting,USA,38,-97,Unknown,NA,NA,19/11/2020,31/12/2021,NCT04636697,https://clinicaltrials.gov/ct2/show/NCT04636697,Recruiting,NA
Medicago Inc,CoVLP,Phase II/III,Medicago CoVLP,Virus-like particle,30918,≥18,2,Canada,Canada,Active/recruiting,CAN,60,-95,Unknown,NA,NA,19/11/2020,31/12/2021,NCT04636697,https://clinicaltrials.gov/ct2/show/NCT04636697,Recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
Moderna/NIAID,mRNA-1273,Phase III,Moderna mRNA-1273,RNA,30420,≥18,2,USA (adults),USA,Active/recruiting,USA,38,-97,"30,000 (100%)",22/10/2020,https://www.modernatx.com/cove-study,27/07/2020,27/10/2022,NCT04470427,https://clinicaltrials.gov/ct2/show/NCT04470427,"Active, not recruiting",NA
Moderna/NIAID,mRNA-1273,Phase II/III,Moderna mRNA-1273,RNA,3000,12–17,2,USA (adolescents),USA,Active/recruiting,USA,38,-97,Unknown,NA,NA,09/12/2020,30/06/2022,NCT04649151,https://clinicaltrials.gov/ct2/show/NCT04649151,Recruiting,NA
,,,,,,,,,,,,,,,,,,,,,,
Novavax,NVX-CoV2373,Phase III,Novavax NVX-CoV2373,Protein subunit,15000,18–84,2,UK,UK,Active/recruiting,GBR,54,-2,Unknown,NA,NA,28/09/2020,31/01/2021,NCT04583995,https://clinicaltrials.gov/ct2/show/NCT04583995,Recruiting,NA
Novavax,NVX-CoV2373,Phase III,Novavax NVX-CoV2373,Protein subunit,30000,≥18,2,USA,USA,Active/recruiting,USA,38,-97,Unknown,NA,NA,27/12/2020,31/03/2021,NCT04611802,https://clinicaltrials.gov/ct2/show/NCT04611802,"Active, not recruiting",NA
Novavax,NVX-CoV2373,Phase III,Novavax NVX-CoV2373,Protein subunit,30000,≥18,2,Mexico,Mexico,Active/recruiting,MEX,23,-102,Unknown,NA,NA,27/12/2020,31/03/2021,NCT04611802,https://clinicaltrials.gov/ct2/show/NCT04611802,"Active, not recruiting",NA
Novavax,NVX-CoV2373,Phase III,Novavax NVX-CoV2373,Protein subunit,30000,≥18,2,Puerto Rico,Puerto Rico,Active/recruiting,PRI,18.25,-66.5,Unknown,NA,NA,27/12/2020,31/03/2021,NCT04611802,https://clinicaltrials.gov/ct2/show/NCT04611802,"Active, not recruiting",NA
,,,,,,,,,,,,,,,,,,,,,,
Research Institute for Biological Safety Problems,QazCovid-in,Phase III,Research Institute for Biological Safety Problems QazCovid-in,Inactivated,3000,≥18,2,Kazakhstan,Kazakhstan,Active/recruiting,KAZ,48,68,Unknown,NA,NA,25/12/2020,31/03/2021,NCT04691908,https://clinicaltrials.gov/ct2/show/NCT04691908,"Active, not recruiting",NA
,,,,,,,,,,,,,,,,,,,,,,
Sinovac,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,12688,≥18,2,Brazil (phase III),Brazil,Active/recruiting,BRA,-10,-55,Unknown,NA,NA,21/07/2020,17/12/2020,NCT04456595,https://clinicaltrials.gov/ct2/show/NCT04456595,"Active, not recruiting",NA
Sinovac,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,1620,18–59,2,Indonesia,Indonesia,Active/recruiting,IDN,-5,120,Unknown,NA,NA,10/08/2020,31/01/2021,NCT04508075,https://clinicaltrials.gov/ct2/show/NCT04508075,Recruiting,NA
Sinovac,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,13000,18–59,2,Turkey,Turkey,Active/recruiting,TUR,39,35,Unknown,NA,NA,14/09/2020,15/02/2021,NCT04582344,https://clinicaltrials.gov/ct2/show/NCT04582344,Recruiting,NA
Sinovac,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,1040,≥18,2,China,Mainland China,Active/recruiting,CHN,35,105,Unknown,NA,NA,31/10/2020,28/11/2020,NCT04617483,https://clinicaltrials.gov/ct2/show/NCT04617483,Recruiting,NA
Sinovac,CoronaVac,Phase III,Sinovac CoronaVac,Inactivated,2300,≥18,2,Chile,Chile,Active/recruiting,CHL,-30,-71,Unknown,NA,NA,27/11/2020,31/01/2022,NCT04651790,https://clinicaltrials.gov/ct2/show/NCT04651790,Recruiting,NA
Sinovac,CoronaVac,Phase IV,Sinovac CoronaVac,Inactivated,30000,≥18,2,Brazil (phase IV),Brazil,Active/recruiting,BRA,-10,-55,Unknown,NA,NA,17/02/2021,31/05/2021,NCT04747821,https://clinicaltrials.gov/ct2/show/NCT04747821,Enrolling by invitation,NA
,,,,,,,,,,,,,,,,,,,,,,
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,WIBP vaccine,Phase III,Wuhan/Sinopharm vaccine,Inactivated,45000,≥18,2,Bahrain,Bahrain,Active/recruiting,BHR,26,50.55,Unknown,NA,NA,16/07/2020,16/03/2021,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting,NA
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,WIBP vaccine,Phase III,Wuhan/Sinopharm vaccine,Inactivated,45000,≥18,2,Egypt,Egypt,Active/recruiting,EGY,27,30,Unknown,NA,NA,16/07/2020,16/03/2021,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting,NA
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,WIBP vaccine,Phase III,Wuhan/Sinopharm vaccine,Inactivated,45000,≥18,2,Jordan,Jordan,Active/recruiting,JOR,31,36,Unknown,NA,NA,16/07/2020,16/03/2021,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting,NA
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,WIBP vaccine,Phase III,Wuhan/Sinopharm vaccine,Inactivated,45000,≥18,2,United Arab Emirates,United Arab Emirates,Active/recruiting,ARE,24,54,Unknown,NA,NA,16/07/2020,16/03/2021,NCT04510207,https://clinicaltrials.gov/ct2/show/NCT04510207,Recruiting,NA
Wuhan Institute of Biological Products/Sinopharm,WIBP vaccine,Phase III,Wuhan/Sinopharm vaccine,Inactivated,600,≥18,2,Morocco,Morocco,Active/recruiting,MAR,32,-5,Unknown,NA,NA,02/09/2020,31/12/2020,ChiCTR2000039000,http://www.chictr.org.cn/showprojen.aspx?proj=62581,Recruiting,NA
Wuhan Institute of Biological Products/Beijing Institute of Biological Products/Sinopharm,WIBP vaccine,Phase III,Wuhan/Sinopharm vaccine,Inactivated,6000,18–60,2,Peru,Peru,Active/recruiting,PER,-10,-76,Unknown,NA,NA,10/09/2020,31/12/2020,NCT04612972,https://clinicaltrials.gov/ct2/show/NCT04612972,Recruiting,NA
